segment,start,end,medad_p50,medad_p90,medad_p99,si_p50,si_p90,si_p99,motion_occupancy,motion_magnitude,scene_activity,texture,rtci,burst_score,tail_score,extreme_score,spatial_score,temporal_score,motion_score,event_score,segment_variability,v8_fusion,bdi,regime,class
0,0.0,5.0,0.0,1.0,31.389999999999972,57.78495788574219,104.92738723754883,107.56134902954102,0.08472043710797492,2.757967874943997,0.010815560293898028,810.2733849415805,0.225,0.125,1.0,0.22300095571838185,0.40639348281883847,0.18000000000000002,0.3707185068912459,0.03090160083970865,0.0,0.3182829221948797,0.3571595852467881,SPARSE-EXTREME,Moderate
1,5.0,10.0,1.0,3.0,5.760000000000005,109.86993408203125,123.77686767578125,124.99627075195312,0.17070572916666665,6.557526493055556,0.025715790168845315,1697.6577988482582,0.323,0.375,0.2400000000000002,1.0,0.5867273077808071,0.34640000000000004,0.336964808642247,0.0734736861967009,0.3333333333333333,0.41621597640776037,0.42315536394028,SPARSE-EXTREME,Moderate
2,10.0,15.0,1.0,3.0,38.20000000000023,94.89131164550781,122.54461975097657,123.5980941772461,0.1761447916666667,6.707135833333334,0.026302493464052286,1709.5469358645064,0.525,0.375,1.0,0.22578534031413477,0.5238726318357846,0.4575000000000001,0.396367488015148,0.07514998132586367,0.6666666666666666,0.4710699558098341,0.48924352326481196,SPARSE-EXTREME,Moderate
3,15.0,20.0,0.0,1.0,45.8400000000003,57.50511932373047,145.4387451171875,146.01950012207033,0.09331319444444444,4.951403576388889,0.019417268927015247,1020.5091798356528,0.225,0.125,1.0,0.18542757417102845,0.33509501799879116,0.18000000000000002,0.1809073512104256,0.055477911220043565,0.0,0.2552878946657239,0.28123938259548137,SPARSE-EXTREME,Low
4,20.0,25.0,1.0,3.0,5.0,76.06292724609375,142.13176879882812,142.48334167480468,0.2400890972222222,10.038486458333336,0.03936661356209151,1453.127581066547,0.31666666666666665,0.375,0.20833333333333334,1.0,0.39828505968336436,0.34291666666666665,0.36090812664298266,0.11247603874883288,0.3333333333333333,0.37545648909594526,0.36659315003833204,SPARSE-EXTREME,Moderate
5,25.0,30.0,2.0,4.0,5.0,73.39067077636719,84.13548889160157,87.36508087158204,0.2628470833333333,8.872194791666665,0.03479292075163399,1113.3505886027542,0.34375,0.25,0.15625,1.0,0.5786698033122659,0.3015625,0.46440059000762135,0.09940834500466855,0.25,0.4124348000680862,0.4290623626956183,BURST-DOMINATED,Moderate
6,30.0,35.0,5.0,11.600000000000009,15.0,70.21739196777344,84.52371978759766,85.2948583984375,0.3183522916666667,10.131087743055556,0.03972975585511983,1486.0510463691487,0.4136034482758618,0.2900000000000002,0.16163793103448265,0.31666666666666665,0.554983157239329,0.3579818965517241,0.43196374464744897,0.11351358815748523,0.8620689655172408,0.4161633835042498,0.4366412517320422,BURST-DOMINATED,Moderate
7,35.0,40.0,1.0,3.0,5.760000000000005,70.5342025756836,72.03133697509766,72.59174530029297,0.18855781249999998,6.490528854166667,0.025453054330065353,376.5336675447289,0.323,0.375,0.2400000000000002,0.17361111111111097,0.638338485481599,0.34640000000000004,0.2834169653542196,0.0727230123716153,0.3333333333333333,0.38470672854945903,0.4375479385482187,SPATIAL-HEAVY,Moderate
8,40.0,45.0,2.0,3.0,5.760000000000005,64.66757202148438,68.99512329101563,70.17953216552735,0.2100248611111111,7.196955451388887,0.028223354711328974,312.5073314423095,0.43550000000000005,0.1875,0.2400000000000002,0.13020833333333323,0.6147795812778126,0.3239000000000001,0.3187267707011331,0.08063815631808278,0.3333333333333333,0.3547074526470071,0.40138653453912154,SPATIAL-HEAVY,Moderate
9,45.0,50.0,0.0,1.0,6.0,86.67757415771484,92.64248352050781,93.45481994628906,0.15350604166666668,4.919777534722222,0.019293245234204795,804.9826135319106,0.325,0.125,0.75,0.7916666666666666,0.6136831505378753,0.23500000000000001,0.3520644191414096,0.0551235578120137,1.0,0.42733999426330715,0.4167905669039863,SPATIAL-HEAVY,Moderate
10,50.0,55.0,1.0,1.0,2.0,111.45429992675781,112.2121597290039,113.25356048583984,0.12444885416666669,4.178749548611111,0.01638725313180828,2304.7999585264834,0.525,0.125,0.25,1.0,0.6463342167161081,0.3450000000000001,0.376269553437374,0.04682072323373795,0.0,0.4132390542569478,0.46140378195609355,SPATIAL-HEAVY,Moderate
11,55.0,60.0,2.0,3.0,5.0,112.86439514160156,116.81732025146485,117.88503997802735,0.23934138888888892,8.803602465277779,0.03452393123638344,2361.9851730138707,0.4791666666666667,0.1875,0.20833333333333334,1.0,0.6309627547434965,0.34791666666666665,0.36872191781212377,0.09863980353252412,0.6666666666666666,0.4250861122548986,0.42045152222541815,SPATIAL-HEAVY,Moderate
12,60.0,65.0,3.0,5.0,5.0,125.1915283203125,126.13367462158203,126.665859375,0.37237972222222215,15.51839159722222,0.06085643763616557,2500.9945893513254,0.3666666666666667,0.20833333333333334,0.125,0.125,0.6458326301371914,0.29541666666666666,0.40000580330403546,0.1738755361033302,0.2,0.36508949985469713,0.4219867794507685,SPATIAL-HEAVY,Moderate
13,65.0,70.0,1.0,6.0,47.24000000000025,72.51959991455078,124.67223052978515,125.18529418945313,0.19097725694444442,8.15335204861111,0.03197392960239652,1202.8873865487597,0.5218333333333344,0.75,0.9841666666666719,0.37044877222692435,0.4215599046407368,0.6245083333333339,0.32488701180561586,0.09135408457827578,0.6666666666666666,0.5010180165173124,0.48332116755431515,MOTION-HEAVY,High
