segment,start,end,medad_p50,medad_p90,medad_p99,si_p50,si_p90,changed_pct,rtci,burst_score,tail_score,extreme_score,adim_sustained,adim_dynamic,adim_risk,spatial_adim,scene_activity,texture,spatial_score,temporal_score,v9_fusion,adci_temporal,adci_spatial,bdi,regime,class
0,0.0,5.0,0.0,1.0,31.389999999999972,57.762935638427734,104.83337097167968,8.474395861335127,0.175,0.1,1.0,0.1784007645747055,0.0,0.15,0.35434554247534794,0.3530430728429442,0.010855178849093403,808.5607026073635,0.2945120180203543,0.21526531097677637,0.27620561391685705,0.15880366274260438,0.3530430728429442,0.24631903704164326,SPARSE-EXTREME,Low
1,5.0,10.0,1.0,3.0,5.760000000000005,109.91314697265625,123.70812225341797,17.060333333333332,0.23833888888888885,0.3,0.28800000000000026,1.0,0.36249999995138893,0.303,0.6614953243906101,0.3868390207503575,0.02573143069172113,1691.606313752114,0.25220710133778235,0.4683167161022591,0.46940248515511684,0.4313735973001691,0.3868390207503575,0.3686589639441842,HEAVY-TAIL-RISK,Moderate
2,10.0,15.0,1.0,3.0,38.20000000000023,94.85836029052734,122.50777740478516,17.604399305555557,0.30475567190226865,0.3,1.0,0.18062827225130781,0.3333333332944444,0.34500000000000003,0.1800342166149639,0.45311191073082946,0.02631379901960784,1705.1337465551069,0.3682541653552647,0.27140238422138435,0.38331721250887685,0.29142693163754474,0.45311191073082946,0.3182652618652765,SPARSE-EXTREME,Moderate
3,15.0,20.0,0.0,1.0,45.8400000000003,57.452735900878906,145.3597412109375,9.329239583333335,0.175,0.1,1.0,0.14834205933682276,0.0,0.15,0.16556292423137306,0.34926302607508364,0.019427892020697165,1018.3763294652899,0.34251607368301284,0.13314487204064726,0.23035554940224495,0.10216887726941191,0.34926302607508364,0.22690116124822718,SPARSE-EXTREME,Low
4,20.0,25.0,1.0,3.0,5.0,76.07130432128906,141.97828979492186,24.01169791666667,0.24583333333333332,0.3,0.25,0.8400000000000001,0.36249999995138893,0.307,0.6112413006096987,0.3846074905430904,0.0393560883714597,1447.9524464882606,0.3423661782216488,0.4480862157575627,0.43537692626149904,0.4176973901658957,0.3846074905430904,0.3958493357580313,HEAVY-TAIL-RISK,Moderate
5,25.0,30.0,2.0,4.0,5.0,73.41083526611328,84.13279113769532,26.298552083333337,0.29375,0.2,0.125,1.0,0.5218749999507812,0.21333333333333332,0.5789816845446548,0.3682345239847737,0.03480706059368192,1113.276521483533,0.23081170892169814,0.42098567860250624,0.46564992572753183,0.43101742201283655,0.3682345239847737,0.3265052834843234,BURST-DOMINATED,Moderate
6,30.0,35.0,5.0,11.600000000000009,15.0,70.20083618164062,84.48744659423828,31.833624999999998,0.33337356321839073,0.23200000000000015,0.15,0.2533333333333333,0.43103448274561507,0.24428965517241405,0.3483292361118218,0.37072735584351163,0.03971743545751634,1483.719034180217,0.24789933716281087,0.3189591832238356,0.40375902646320183,0.3408622191048567,0.37072735584351163,0.2859052880925249,BURST-DOMINATED,Moderate
7,35.0,40.0,1.0,3.0,5.760000000000005,70.533935546875,72.03118896484375,18.869333333333337,0.23833888888888885,0.3,0.28800000000000026,0.13888888888888878,0.36249999995138893,0.307,0.2829104724210283,0.4902703618850638,0.02548337132352941,377.2043761540349,0.35230501708184636,0.3052623054954911,0.42461639827663605,0.3191981417092946,0.4902703618850638,0.32138722832963407,SPARSE-EXTREME,Moderate
8,40.0,45.0,2.0,3.0,6.0,64.66404724121094,68.99130554199219,21.015451388888888,0.26,0.15,0.15,0.1,0.6374999999319444,0.1225,0.1752555555555553,0.37969884206364657,0.028252846949891067,313.2500373018721,0.22877933232610018,0.22656116665594783,0.3939839113497916,0.3185766666428471,0.37969884206364657,0.21427265795289877,LOW-COMPLEXITY,Moderate
9,45.0,50.0,0.0,1.0,6.0,86.43740844726562,92.55762329101563,15.319982638888886,0.17,0.1,0.3,0.6333333333333333,0.08749999991249999,0.42999999999999994,0.5648360722954048,0.38377624538515775,0.019279383714596948,799.8391454638024,0.2343788679555996,0.43470994143471986,0.412379605762208,0.3505758216579964,0.38377624538515775,0.35780364549259386,SPARSE-EXTREME,Moderate
10,50.0,55.0,1.0,1.0,2.0,111.27152252197266,112.02588195800782,12.427114583333335,0.29000000000000004,0.1,0.1,1.0,0.99999999965,0.235,0.3866666666666667,0.5106158619569368,0.016405557461873638,2290.4407814318524,0.3759712738828308,0.421462499944875,0.5773092024304644,0.5482499998775,0.5106158619569368,0.37913989230284373,LOW-COMPLEXITY,High
11,55.0,60.0,2.0,3.0,5.0,112.7236099243164,116.80853881835938,23.90260763888889,0.3229166666666667,0.15,0.125,0.9199999999999999,0.6666666665888888,0.11249999999999999,0.3855478260869564,0.4280227728679375,0.03449657257625272,2349.6769910532216,0.2852773262834102,0.318557054335576,0.4704595779833134,0.388372681132198,0.4280227728679375,0.2862509961319239,LOW-COMPLEXITY,Moderate
