segment,start,end,medad_p50,medad_p90,medad_p99,si_p50,si_p90,changed_pct,rtci,burst_score,tail_score,extreme_score,adim_sustained,adim_dynamic,adim_risk,spatial_adim,scene_activity,texture,spatial_score,temporal_score,v9_fusion,adci_temporal,adci_spatial,bdi,regime,class
0,0.0,5.0,0.0,1.0,31.389999999999972,57.78495788574219,104.92738723754883,8.472043710797491,0.175,0.1,1.0,0.1784007645747055,0.0,0.15,0.35434554247534794,0.3528024476215035,0.010815560293898028,810.2733849415805,0.29428957441837095,0.21526531097677637,0.276110342829308,0.15880366274260438,0.3528024476215035,0.2462346266653696,SPARSE-EXTREME,Low
1,5.0,10.0,1.0,3.0,5.760000000000005,109.86993408203125,123.77686767578125,17.070572916666663,0.23833888888888885,0.3,0.28800000000000026,1.0,0.36249999995138893,0.303,0.6614953243906101,0.38848034203707327,0.025715790168845315,1697.6577988482582,0.2545276185220259,0.4683167161022591,0.46989448322958527,0.4313735973001691,0.38848034203707327,0.36958109154069096,HEAVY-TAIL-RISK,Moderate
2,10.0,15.0,1.0,3.0,38.20000000000023,94.89131164550781,122.54461975097657,17.61447916666667,0.30475567190226865,0.3,1.0,0.18062827225130781,0.3333333332944444,0.34500000000000003,0.1800342166149639,0.45361156366070043,0.026302493464052286,1709.5469358645064,0.3688364622046941,0.27140238422138435,0.3834786615627074,0.29142693163754474,0.45361156366070043,0.31848800422636414,SPARSE-EXTREME,Moderate
3,15.0,20.0,0.0,1.0,45.8400000000003,57.50511932373047,145.4387451171875,9.331319444444444,0.175,0.1,1.0,0.14834205933682276,0.0,0.15,0.16556292423137306,0.34923043694560785,0.019417268927015247,1020.5091798356528,0.3424398167812538,0.13314487204064726,0.23035441032744775,0.10216887726941191,0.34923043694560785,0.2268707814035376,SPARSE-EXTREME,Low
4,20.0,25.0,1.0,3.0,5.0,76.06292724609375,142.13176879882812,24.008909722222224,0.24583333333333332,0.3,0.25,0.8400000000000001,0.36249999995138893,0.307,0.6112413006096987,0.38221154927317436,0.03936661356209151,1453.127581066547,0.3397258646518898,0.4480862157575627,0.4346287270702075,0.4176973901658957,0.38221154927317436,0.3948662945736787,HEAVY-TAIL-RISK,Moderate
5,25.0,30.0,2.0,4.0,5.0,73.39067077636719,84.13548889160157,26.284708333333327,0.29375,0.2,0.125,1.0,0.5218749999507812,0.21333333333333332,0.5789816845446548,0.3682824543805687,0.03479292075163399,1113.3505886027542,0.23095078897894133,0.42098567860250624,0.4656457607446579,0.43101742201283655,0.3682824543805687,0.32656138316999034,BURST-DOMINATED,Moderate
6,30.0,35.0,5.0,11.600000000000009,15.0,70.21739196777344,84.52371978759766,31.835229166666668,0.33337356321839073,0.23200000000000015,0.15,0.2533333333333333,0.43103448274561507,0.24428965517241405,0.3483292361118218,0.3708175806243995,0.03972975585511983,1486.0510463691487,0.24805074450960568,0.3189591832238356,0.4037791714035158,0.3408622191048567,0.3708175806243995,0.2859654862998103,BURST-DOMINATED,Moderate
7,35.0,40.0,1.0,3.0,5.760000000000005,70.5342025756836,72.03133697509766,18.85578125,0.23833888888888885,0.3,0.28800000000000026,0.13888888888888878,0.36249999995138893,0.307,0.2829104724210283,0.48805311684417796,0.025453054330065353,376.5336675447289,0.3497253700505576,0.3052623054954911,0.4239270310877518,0.3191981417092946,0.48805311684417796,0.32041043755810167,SPARSE-EXTREME,Moderate
8,40.0,45.0,2.0,3.0,5.760000000000005,64.66757202148438,68.99512329101563,21.002486111111118,0.2660444444444443,0.15,0.14400000000000013,0.10416666666666659,0.6374999999319444,0.1225,0.17636819221879718,0.3795691416598682,0.028223354711328974,312.5073314423095,0.2285682998961969,0.227045163604458,0.39411144505558404,0.3189104576418197,0.3795691416598682,0.2144110991354054,LOW-COMPLEXITY,Moderate
9,45.0,50.0,0.0,1.0,6.0,86.67757415771484,92.64248352050781,15.350604166666667,0.17,0.1,0.3,0.6333333333333333,0.08749999991249999,0.42999999999999994,0.5648360722954048,0.3826641205347359,0.019293245234204795,804.9826135319106,0.23287184394183816,0.43470994143471986,0.41225232715518934,0.3505758216579964,0.3826641205347359,0.3572836171858621,SPARSE-EXTREME,Moderate
10,50.0,55.0,1.0,1.0,2.0,111.45429992675781,112.2121597290039,12.444885416666667,0.29000000000000004,0.1,0.1,1.0,0.99999999965,0.235,0.3866666666666667,0.5114162605486732,0.01638725313180828,2304.7999585264834,0.37692469272462537,0.421462499944875,0.5775334294845827,0.5482499998775,0.5114162605486732,0.3794949815447483,LOW-COMPLEXITY,High
11,55.0,60.0,2.0,3.0,5.0,112.86439514160156,116.81732025146485,23.93413888888888,0.3229166666666667,0.15,0.125,0.9199999999999999,0.6666666665888888,0.11249999999999999,0.3855478260869564,0.4246925462242766,0.03452393123638344,2361.9851730138707,0.2804824449247745,0.318557054335576,0.4694421706230777,0.388372681132198,0.4246925462242766,0.28433001953743875,LOW-COMPLEXITY,Moderate
12,60.0,65.0,3.0,5.0,5.0,125.1915283203125,126.13367462158203,37.23797222222222,0.3741666666666667,0.16666666666666669,0.08333333333333334,0.1,0.6174999999545,0.22843589743589748,0.1217203327171904,0.44386694898391604,0.06085643763616557,2500.9945893513254,0.295261653298376,0.2432922229299398,0.4297919251517597,0.33259366390179623,0.44386694898391604,0.26245828747287786,LOW-COMPLEXITY,Moderate
