segment,start,end,medad_p50,medad_p90,medad_p99,si_p50,si_p90,changed_pct,rtci,burst_score,tail_score,extreme_score,adim_sustained,adim_dynamic,adim_risk,spatial_adim,scene_activity,texture,spatial_score,temporal_score,v9_fusion,adci_temporal,adci_spatial,bdi,regime,class
0,0.0,5.005,2.5,17.0,19.0,51.31569480895996,58.61952590942383,27.548639112903224,0.37514241486068106,0.6799999999999999,0.38,0.10526315789473684,0.19338235293542388,0.5744086687306501,0.15384486216883433,0.3973804838425999,0.032339735448951086,142.39005175862468,0.2781610868300573,0.3314517681385121,0.3462957126668664,0.31488031623377616,0.3973804838425999,0.3276178183957696,SPARSE-EXTREME,Moderate
1,5.005,10.01,0.0,0.0,0.0,119.72315216064453,126.01337585449222,0.38852777777777775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42935236088674356,0.000270849128540305,473.5402554861111,0.311179078468707,0.0,0.2386567459630917,0.0,0.42935236088674356,0.1317813100997497,LOW-COMPLEXITY,Low
2,10.01,15.015,0.0,0.0,0.0,180.20375061035156,197.63143920898438,0.5332916666666666,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.4529063107857229,0.0004673481753812637,1485.8254991059218,0.3228332273781158,0.0,0.2486563530993015,0.0,0.4529063107857229,0.1352197595773827,LOW-COMPLEXITY,Low
3,15.015,20.02,1.0,1.0,1.0,35.960899353027344,36.59903182983398,1.7231527777777778,0.6325,0.1,0.05,0.1,0.9124999997375001,0.2583333333333333,0.08000000000000002,0.5014324014686666,0.004328425245098039,187.76567405229355,0.36682288223224524,0.2837895832919896,0.47821372416649616,0.4337916665747917,0.5014324014686666,0.3020114775405629,LOW-COMPLEXITY,Moderate
4,20.02,25.025000000000002,1.0,1.0,1.0,37.06428527832031,37.67822494506836,2.19665625,0.6325,0.1,0.05,0.1,0.9124999997375001,0.2583333333333333,0.08000000000000002,0.4139567288556458,0.004981650190631808,220.53974473451393,0.26048642148756646,0.2837895832919896,0.45382061085971664,0.4337916665747917,0.4139567288556458,0.2621745756641059,LOW-COMPLEXITY,Moderate
5,25.025000000000002,30.03,0.0,1.0,1.7600000000000051,54.16309356689453,60.15503005981445,2.0295972222222227,0.13820000000000005,0.1,0.08800000000000026,0.11363636363636331,0.08749999991249999,0.42999999999999994,0.09987658801014411,0.38349333575523203,0.00423102818627451,270.39495681386944,0.24984818566026312,0.2324525657706314,0.301507109068131,0.2110879763724182,0.38349333575523203,0.25705973526669096,LOW-COMPLEXITY,Moderate
6,30.03,35.06836666666667,0.0,0.0,1.0,20.987186431884766,59.448421478271484,0.6480792548500884,0.0075,0.0,0.05,1.0,0.0,0.0,0.28,0.3413120400275649,0.0023075023991077914,188.83070073494514,0.33471680223396527,0.1218,0.21263690048342765,0.084,0.3413120400275649,0.1984533062792911,LOW-COMPLEXITY,Low
7,35.06836666666667,40.10673333333334,0.0,1.0,1.0,68.55645370483398,92.75680541992188,0.8256689539241621,0.0325,0.1,0.05,0.1,0.0,0.15,0.04571428571428573,0.33951181370654254,0.0024612970959988936,447.3867286876479,0.23797518905712234,0.08101071428571428,0.22289741835225124,0.06621428571428571,0.33951181370654254,0.1564808803823563,LOW-COMPLEXITY,Low
8,40.10673333333334,45.11173333333333,0.0,0.0,0.7600000000000051,21.159765243530273,94.07657928466797,1.1267152777777776,0.005700000000000038,0.0,0.038000000000000256,1.0,0.0,0.0,0.28,0.3279952668876394,0.0020174471677559917,267.6930533095365,0.35784897397726706,0.1218,0.20212381646678104,0.084,0.3279952668876394,0.20966900603009705,LOW-COMPLEXITY,Low
9,45.11173333333333,50.1501,0.0,0.0,0.0,15.266047954559326,20.359253883361816,0.28945519179894186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.358479457097694,0.0010749106548483588,71.17109731672177,0.25214669044425253,0.0,0.18121569896888026,0.0,0.358479457097694,0.09987897558681086,LOW-COMPLEXITY,Low
